NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
LUIZA DULCI,PT,MG,33.0,FEMININO,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,13113
ROSELI BRITO,REDE,RJ,53.0,FEMININO,ENSINO MÉDIO COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,NÃO DIVULGÁVEL,18456
GRACIELE LIMA,PC do B,RR,35.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,65321
ADERLÂNDIO FRANÇA,PDT,AC,44.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12300
PRIMO RENATO,PATRIOTA,RJ,60.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,51123
TIA RAQUEL DO SOCIAL,PSD,RJ,47.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,55126
IZAURI MACEDO,MDB,MS,69.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,15500
EDNA RIBEIRO,PT,PB,55.0,FEMININO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,13666
DANIELLE LIO,REDE,MG,42.0,FEMININO,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,18244
EDUARDO DA RODOTAXI,AVANTE,RO,37.0,MASCULINO,SUPERIOR INCOMPLETO,TAXISTA,N,NÃO DIVULGÁVEL,70789
DRA RAQUEL,UNIÃO,RJ,49.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44567
MISSIONÁRIO SIRINEU BARBOSA,REPUBLICANOS,BA,64.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,10777
HELLEN MADONA,UNIÃO,MS,45.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44744
MIGUEL MEDINA,MDB,RS,27.0,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,15815
CADU TOLENTINO,CIDADANIA,MG,54.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,23393
RUYBERTO,REPUBLICANOS,RJ,63.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,10017
ZUILA DOMÉSTICA,AGIR,AC,58.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36398
EDIVAN ALMEIDA,REPUBLICANOS,BA,46.0,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,10733
ÉLITA SILVA,PROS,RJ,37.0,FEMININO,ENSINO MÉDIO COMPLETO,COZINHEIRO,N,NÃO DIVULGÁVEL,90003
ARLINDO ARAÚJO,MDB,SP,62.0,MASCULINO,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,15620
JEOVÁ MOTA,PDT,CE,57.0,MASCULINO,SUPERIOR INCOMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12444
REGIS YASUMURA,PL,SP,45.0,MASCULINO,SUPERIOR COMPLETO,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,N,NÃO DIVULGÁVEL,22002
DR JOSÉ CLAUDIO,PTB,MG,56.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14022
CLEIA PIT BULL,MDB,RR,58.0,FEMININO,ENSINO MÉDIO COMPLETO,"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR",N,NÃO DIVULGÁVEL,15220
DR. MARCOS PAULO,PSOL,RJ,46.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,50000
NINA CAMPELLO,AVANTE,RN,34.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70123
RODOLFO VALE,PC do B,AP,31.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,65777
AMARILDO VIEIRA,PRTB,PA,28.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,28888
GUSTAVO SEFER,PSD,PA,32.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,55123
RAFAEL MORENO,PMB,SP,34.0,MASCULINO,ENSINO MÉDIO COMPLETO,PUBLICITÁRIO,N,NÃO DIVULGÁVEL,35035
DANIELE BIONDO CROCETTI,REDE,PR,46.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,18294
CARLOS FRANCO,PSD,RJ,31.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55120
DR ADAIRES,PDT,TO,41.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12612
EDUARDO CAVALIERE,PSD,RJ,28.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,55001
