NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
LUIZA DULCI,PT,Esquerda,MG,FEMININO,BRANCA,33.0,404854.0,BENS_G2,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,13113
ROSELI BRITO,REDE,Esquerda,RJ,FEMININO,BRANCA,53.0,nan,nan,ENSINO MÉDIO COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,NÃO DIVULGÁVEL,18456
GRACIELE LIMA,PC do B,Esquerda,RR,FEMININO,PARDA,35.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,65321
ADERLÂNDIO FRANÇA,PDT,Esquerda,AC,MASCULINO,PARDA,44.0,70000.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12300
PRIMO RENATO,PATRIOTA,Direita,RJ,MASCULINO,PARDA,60.0,15000.0,BENS_G4,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,51123
TIA RAQUEL DO SOCIAL,PSD,Direita,RJ,FEMININO,PRETA,47.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,55126
IZAURI MACEDO,MDB,Centro,MS,MASCULINO,PARDA,69.0,1901014.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,15500
EDNA RIBEIRO,PT,Esquerda,PB,FEMININO,PARDA,55.0,nan,nan,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,13666
DANIELLE LIO,REDE,Esquerda,MG,FEMININO,BRANCA,42.0,nan,nan,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,18244
EDUARDO DA RODOTAXI,AVANTE,Centro,RO,MASCULINO,BRANCA,37.0,312159.0,BENS_G2,SUPERIOR INCOMPLETO,TAXISTA,N,NÃO DIVULGÁVEL,70789
DRA RAQUEL,UNIÃO,Direita,RJ,FEMININO,PARDA,49.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44567
MISSIONÁRIO SIRINEU BARBOSA,REPUBLICANOS,Direita,BA,MASCULINO,PARDA,64.0,2300305.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,10777
HELLEN MADONA,UNIÃO,Direita,MS,FEMININO,BRANCA,45.0,117.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44744
MIGUEL MEDINA,MDB,Centro,RS,MASCULINO,BRANCA,27.0,109327.0,BENS_G3,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,15815
CADU TOLENTINO,CIDADANIA,Esquerda,MG,MASCULINO,BRANCA,54.0,172763.0,BENS_G3,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,23393
RUYBERTO,REPUBLICANOS,Direita,RJ,MASCULINO,BRANCA,63.0,12000.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,10017
ZUILA DOMÉSTICA,AGIR,Direita,AC,FEMININO,PRETA,58.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36398
EDIVAN ALMEIDA,REPUBLICANOS,Direita,BA,MASCULINO,PARDA,46.0,190000.0,BENS_G3,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,10733
ÉLITA SILVA,PROS,Centro,RJ,FEMININO,PRETA,37.0,nan,nan,ENSINO MÉDIO COMPLETO,COZINHEIRO,N,NÃO DIVULGÁVEL,90003
ARLINDO ARAÚJO,MDB,Centro,SP,MASCULINO,BRANCA,62.0,1851734.0,BENS_G1,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,15620
JEOVÁ MOTA,PDT,Esquerda,CE,MASCULINO,PARDA,57.0,547942.0,BENS_G2,SUPERIOR INCOMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12444
REGIS YASUMURA,PL,Direita,SP,MASCULINO,BRANCA,45.0,849358.0,BENS_G1,SUPERIOR COMPLETO,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,N,NÃO DIVULGÁVEL,22002
DR JOSÉ CLAUDIO,PTB,Direita,MG,MASCULINO,BRANCA,56.0,223000.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14022
CLEIA PIT BULL,MDB,Centro,RR,FEMININO,PARDA,58.0,nan,nan,ENSINO MÉDIO COMPLETO,"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR",N,NÃO DIVULGÁVEL,15220
DR. MARCOS PAULO,PSOL,Esquerda,RJ,MASCULINO,BRANCA,46.0,2542143.0,BENS_G1,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,50000
NINA CAMPELLO,AVANTE,Centro,RN,FEMININO,BRANCA,34.0,79644.0,BENS_G3,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70123
RODOLFO VALE,PC do B,Esquerda,AP,MASCULINO,BRANCA,31.0,69000.0,BENS_G4,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,65777
AMARILDO VIEIRA,PRTB,Direita,PA,MASCULINO,PARDA,28.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,28888
GUSTAVO SEFER,PSD,Direita,PA,MASCULINO,BRANCA,32.0,13756453.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,55123
RAFAEL MORENO,PMB,Direita,SP,MASCULINO,BRANCA,34.0,9570.0,BENS_G4,ENSINO MÉDIO COMPLETO,PUBLICITÁRIO,N,NÃO DIVULGÁVEL,35035
DANIELE BIONDO CROCETTI,REDE,Esquerda,PR,FEMININO,BRANCA,46.0,38000.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,18294
CARLOS FRANCO,PSD,Direita,RJ,MASCULINO,BRANCA,31.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55120
