NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
DALVA MORAIS,MDB,Centro,AM,FEMININO,PARDA,37.0,4800.0,BENS_G4,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1522
PROFESSORA LEILA,AVANTE,Centro,MG,FEMININO,PARDA,50.0,167102.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,N,NÃO DIVULGÁVEL,7072
MARISTELA PANEGALLI,PTB,Direita,RS,FEMININO,BRANCA,50.0,495000.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,1433
SUB OFICIAL CHEREM,PMN,Esquerda,AM,MASCULINO,BRANCA,49.0,nan,nan,SUPERIOR COMPLETO,MEMBRO DAS FORÇAS ARMADAS,N,NÃO DIVULGÁVEL,3355
PABLO AIRES,PSB,Esquerda,RN,MASCULINO,PARDA,28.0,45000.0,BENS_G4,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,4050
PROFESSOR MIGUEL COSTA,REDE,Esquerda,MT,MASCULINO,PRETA,62.0,970000.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,1810
PAULA FERNANDA,PMB,Direita,PE,FEMININO,PARDA,27.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3535
VANESSA CRISTINA,PCB,Esquerda,PR,FEMININO,BRANCA,26.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,2121
ALANDERSON MANGUEIRA,PSB,Esquerda,CE,MASCULINO,PARDA,34.0,305265.0,BENS_G2,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4012
JULIANO FLORIANO,AVANTE,Centro,RS,MASCULINO,BRANCA,36.0,nan,nan,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,7006
CLEBIANO OLIVEIRA,PRTB,Direita,MG,MASCULINO,PARDA,51.0,216000.0,BENS_G3,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2880
PAULO HENRIQUE,PRTB,Direita,MG,MASCULINO,PRETA,38.0,106000.0,BENS_G3,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2881
GISELLE RHAYLLA ESTRUTURAL,AVANTE,Centro,DF,FEMININO,BRANCA,33.0,nan,nan,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,7033
THALLES CHERLES,PDT,Esquerda,PE,MASCULINO,PARDA,48.0,635000.0,BENS_G2,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1255
DR. ALFREDO ASSIS,PP,Direita,BA,MASCULINO,PARDA,65.0,nan,nan,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,1101
DENIS PAIM,PP,Direita,BA,MASCULINO,PRETA,45.0,175.0,BENS_G4,ENSINO MÉDIO COMPLETO,TAXISTA,N,NÃO DIVULGÁVEL,1173
PROF JOÃO GALDINO,PTB,Direita,PE,MASCULINO,BRANCA,69.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,1410
JOSIAS BEREDA,DC,Direita,ES,MASCULINO,BRANCA,55.0,nan,nan,ENSINO MÉDIO COMPLETO,MÚSICO,N,NÃO DIVULGÁVEL,2770
LEANDRO DOURADO,PDT,Esquerda,SP,MASCULINO,BRANCA,40.0,2892802.0,BENS_G1,ENSINO MÉDIO COMPLETO,INDUSTRIAL,N,NÃO DIVULGÁVEL,1244
