"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652451;4;"https://oliveiralimaal.com.br/"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652451;1;"https://www.instagram.com/oliveiralima.al/"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652451;2;"https://www.facebook.com/oliveirinha.g"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652451;5;"https://twitter.com/oliveiralima_al?s=21&t=WijfRu2BP_dMnb5Pksn9Cg"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652451;3;"https://t.me/vereadoroliveiralima"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652532;1;"https://www.instagram.com/oficialzealfredo/"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001610339;1;"https://www.instagram.com/sandra_menezes.08/"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653332;1;"https://www.instagram.com/deraldofrancisco.jornalista/"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001653530;1;"https://www.instagram.com/biancanunesoficial/"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001612377;1;"https://instagram.com/franciscosalesfilho?igshid=NWRhNmQxMjQ="
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652529;2;"https://twitter.com/mansostuart?s=11&t=27teWbebaBs3Qm1jYNA8Cw"
"25/09/2022";"18:36:45";2022;"AL";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";20001652529;1;"https://www.instagram.com/stuartmedeiros_manso/"
