"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001596849;1;"https://www.facebook.com/joelna.holderaguiar"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001596849;2;"https://www.instagram.com/joelnaholder/"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001713749;1;"https://www.instagram.com/deputado_jean_mendonca/"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001713749;2;"https://www.facebook.com/deputadojeanmendonca"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635682;4;"https://depjairmontes.com.br/"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635682;1;"https://www.depjairmontes.com.br"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635682;2;"https://instagram.com/dep.jairmontes?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635682;3;"https://www.facebook.com/profile.php?id=100011289938531"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635682;5;"https://www.facebook.com/jairmontesjm"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635683;1;"https://instagram.com/sargento.ramalho?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001635683;2;"https://www.facebook.com/SargentoRamalhooficial"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001614407;1;"https://www.facebook.com/renataevans"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001614407;2;"https://www.instagram.com/renataevans"
"25/09/2022";"18:36:45";2022;"RO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";220001614435;2;"https://twitter.com/szmariarita/"
