"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001604651;2;"https://www.vereadoramariaeunice.com.br"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001604651;1;"https://www.facebook.com/vereadoramariaeunice"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001604659;1;"https://instagram.com/henriqueptpel"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001649240;1;"https://www.instagram.com/velocinouez/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001649240;2;"https://www.facebook.com/velocino.uez"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621253;2;"https://www.instagram.com/flavioduarte457/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621253;1;"https://twitter.com/flaviooyarzabal"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621253;3;"https://www.facebook.com/profile.php?id=100054152007928"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621264;4;"https://www.facebook.com/jose.gava.900/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621264;2;"https://www.facebook.com/Gava1266"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621264;3;"https://www.instagram.com/gava1266/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621264;1;"https://joseantoniogava.com.br/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001649776;1;"https://www.instagram.com/mazzochin_/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001649776;2;"https://www.facebook.com/mazzochin"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621318;3;"http://deisimaranata.com.br/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621318;1;"https://www.facebook.com/deisimaranata"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001621318;2;"https://www.instagram.com/deisi_maranata/"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001620037;4;"https://www.instagram.com/ortizany"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001620037;1;"https://www.facebook.com/anyortizrs"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001620037;3;"https://www.twitter/@anyortiz"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001620037;2;"https://www.anyortiz.com.br"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001620039;1;"https://www.facebook.com/brunadiburcio"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001601884;1;"https://www.instagram.com/soudeborabraga"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001601884;2;"https://www.facebook.com/soudeborabraga"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001610608;1;"https://www.facebook.com/gabriel.goncalves"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001610608;2;"https://instagram.com/gabrielgoncalves"
"25/09/2022";"18:36:45";2022;"RS";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";210001610611;5;"https://twitter.com/SigaPepeVargas"
