"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001711844;2;"https://www.instagram.com/p/CdkCV85uVHC/?igshid=MDJmNzVkMjY="
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001711844;1;"https://www.facebook.com/everton.rodrigues.3994885"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001691823;1;"https://thiagodasucesso.com.br/"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618217;3;"https://www.facebook.com/canela.defogo"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618217;1;"https://www.instagram.com/p/CgiggJHMNL-/?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618217;2;"https://instagram.com/canela_noticias?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;7;"https://twitter.com/byronestrelas"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;5;"https://m.facebook.com/byron.silvaa/"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;6;"https://br.linkedin.com/in/byron-virg%C3%ADlio-aa32ba1ab"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;8;"http://www.byronestrelasdomar.com.br/"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;3;"https://www.youtube.com/c/ByronEstrelasdoMar"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;1;"https://www.tiktok.com/@sgtbyronestrelasdomar?_t=8UfWo8DSyyU&_r=1"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;2;"https://www.facebook.com/byron.silva.336"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618174;4;"https://instagram.com/byronestrelasdomar"
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618233;1;"https://www.instagram.com/p/Cakm57Dufdz/?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"SE";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";260001618233;2;"https://www.facebook.com/gleide.nadja.9"
