"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001639539;1;"https://www.claudiomiranda.com.br/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001597714;3;"https://www.facebook.com/fatima.baule"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001597714;2;"https://instagram.com/fatima.baule"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001597714;1;"http://www.fatimabaulenovo.com.br"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001642275;1;"HTTPS://M.FACEBOOK.COM/DRA.VIVIANFILETO"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001612264;3;"https://twitter.com/idoloevoce"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001612264;2;"https://www.instagram.com/baby_tti_oficial"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001612264;1;"https://www.facebook.com/henrique.gomes.3"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001723577;6;"https://www.youtube.com/ufancelli"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001723577;2;"https://www.instagram.com/uriafancelli/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001723577;3;"https://twitter.com/uriafancelli"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001723577;1;"https://uriafancelli.com.br"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001723577;4;"https://www.facebook.com/uriafancelli"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001723577;5;"https://www.linkedin.com/in/uriafancelli/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001602077;2;"https://reinaldoalguz.com.br/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001602077;4;"https://instagram.com/reinaldoalguz?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001602077;1;"https://web.facebook.com/reinaldo.alguz?_rdc=1&_rdr"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001602077;6;"http://www.reinaldoalguz.com.br/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001602077;3;"https://www.instagram.com/reinaldoalguz/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001602077;5;"https://www.facebook.com/reinaldo.alguz"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001610646;2;"https://www.facebook.com/DeputadoFederalVicentinho"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001610646;5;"https://www.vicentinho.com/"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001610646;3;"https://www.youtube.com/c/DeputadoFederalVicentinhoPTSP"
"25/09/2022";"18:36:45";2022;"SP";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";250001610646;4;"https://twitter.com/VICENTINHOPT"
