"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643152;3;"https://twitter.com/fernando_kassyo"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643152;1;"https://instagram.com/kassyofernando?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643152;2;"https://www.facebook.com/profile.php?id=100002268177646"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001644062;1;"https://instagram.com/gentiladir?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001697354;2;"https://facebook.com/marcosmoreira"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001697354;1;"https://instagram.com/marcosmoreira"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001697218;1;"https://instagram.com/personal_trainer_batalha?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643423;2;"https://www.facebook.com/MauroCarlesseTO"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643423;4;"https://m.youtube.com/channel/UCF3evmrrd5P6jdKdJRsDQ5Q/discussion?disable_polyme"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643423;3;"https://twitter.com/maurocarlesse?s=21&t=wTVlOmMV4YYJHJ_2r3Tvaw"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643423;1;"https://instagram.com/mauro.carlesse?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001675922;1;"https://instagram.com/protetorafrancoise?igshid=YmMyMTA2M2Y="
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001675922;2;"https://s.kw.ai/u/D4mCnUZJ"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001675922;3;"https://www.tiktok.com/@protetorafrancoise?_t=8V3GjKN7U6Y&_r=1"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001675922;4;"https://www.tiktok.com/@protetorafrancoise?_t=8V3GjKN7U6Y&_r=1"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001675922;5;"https://www.facebook.com/Protetora-Fran%C3%A7oise-14004-102539712609181/about/?ref=page_internal"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643221;1;"https://www.instagram.com/gustavopsol/"
"25/09/2022";"18:36:45";2022;"TO";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";270001643221;2;"https://www.youtube.com/channel/UC9bsEJeL1K83WfYHPw-D-Ew"
