SQ_CANDIDATO,VR_BEM_CANDIDATO
10001595335,60000
10001595336,513900
10001595338,312000
10001595339,350000
10001595340,32000
10001595342,225000
10001595343,140000
10001595344,925000
10001595348,150000
10001595349,225000
10001595351,100000
10001595352,305000
10001595354,10000
10001595356,380000
10001595357,60000
10001595359,8000
10001595364,120000
10001600522,57000
10001601425,190000
10001601426,230000
10001601427,274105
10001601428,170000
10001601429,106000
10001601430,435000
10001601431,289000
10001601432,15000
10001601434,454000
10001601437,617000
10001601439,153990
10001601440,430000
10001601441,257000
10001601442,342000
10001601443,30000
10001601445,35000
10001601531,350000
10001601532,55000
10001601533,400000
10001601536,290000
10001601537,499000
10001601539,436000
10001601556,3744024
10001601557,879000
10001601614,118000
10001601615,623785
10001601616,798060
10001606197,48000
10001606199,800000
10001606200,705000
10001606202,459500
10001606205,35000
10001606209,208000
10001606211,10000
10001606212,200000
10001606216,70000
10001606217,120000
10001606219,435000
10001606220,80000
10001606307,12500
10001606495,30000
10001606499,130000
10001606500,166000
10001606502,314000
10001606506,7000
10001606511,85000
10001606585,225000
10001612476,5161385
10001612477,11438
10001612484,8746350
10001612485,2351000
10001612486,76000
10001612487,550786
10001612488,2115805
10001612489,120000
10001612491,2240580
10001613550,203757
10001614193,135000
10001614194,200000
10001614195,363303
10001614197,960000
10001614198,325632
10001614244,370000
10001616168,637485
10001616169,3663898
10001619990,3290000
10001619991,11000
10001619992,829357
10001619993,1019353
10001619994,838954
10001619996,938000
10001621643,400000
10001621644,25000
10001621645,459672
10001621646,1359599
10001621647,274671
10001621648,130000
10001621649,4465500
10001621650,2615657
10001621651,3470000
10001622405,400000
10001622406,10000
10001622407,153000
10001622408,1250000
10001622411,115000
10001622412,9282993
10001622413,5000
10001622762,741833
10001622763,1018000
10001622764,76259
10001622765,70000
10001622768,15000
10001622770,170000
10001622772,2698678
10001622776,950000
10001622777,85000
10001622780,258006
10001622781,38000
10001623439,3650000
10001623440,3323739
10001623537,85000
10001623538,197230
10001623539,1460800
10001623542,1152000
10001623546,3200000
10001623547,1200000
10001623548,470000
10001623550,56500
10001623552,54408
10001635527,1571010
10001635529,300000
10001635530,8000
10001635531,682000
10001635532,5493162
10001635536,202718
10001635538,44000
10001635539,644000
10001635540,500000
10001635541,862648
10001635542,700000
10001635765,6741
10001635766,1094029
10001635768,265000
10001635769,60000
10001635770,135965
10001635772,31439
10001635777,1113500
10001635778,1619281
10001635779,230000
10001635784,656834
10001639519,183527
10001639520,8351067
10001642311,124000
10001642313,1438500
10001642314,16000
10001642316,200000
10001642317,167249
10001642319,2200000
10001642320,504384
10001642323,262000
10001642324,95000
10001642325,130000
10001642327,194517
10001642328,7253
10001642330,180000
10001642332,802767
10001642333,1508258
10001642334,1772779
10001642337,40000
10001642339,670000
10001643313,175000
10001643314,59873
10001643315,12400
10001643316,335000
10001643317,256000
10001643318,100000
10001643321,1850000
10001643322,303000
10001643323,877000
10001643324,95000
10001643325,171000
10001643326,6000
10001643327,110601
10001643328,18000
10001643330,80000
10001643427,730000
10001643428,1741477
10001643431,19946
10001643433,940000
10001643434,300000
10001643439,1273839
10001643440,1405000
10001643444,4649457
10001643445,2919310
10001643446,367211
10001643544,3528621
10001643545,77547
10001643546,68078
10001643697,30000
10001643701,120000
10001643702,220000
10001643704,208000
10001643705,924000
10001643706,1625000
10001643843,50000
10001643844,445000
10001643845,126498
10001643846,60000
10001643847,150000
10001643849,900000
10001643850,4000
10001643851,3300000
10001643852,100000
10001643854,672000
10001643856,17000
10001643859,180000
10001649256,450000
10001649310,185760
10001649313,180000
10001649314,1126478
10001649315,26000
10001649316,650000
10001649318,1050000
10001649319,97573
10001649320,280000
10001649321,43388
10001649322,31416
10001649325,200000
10001649326,50000
10001649329,898875
10001649330,30447153
10001649409,340000
10001649410,10000
10001649411,253397
